,Airport,Country,icao_code,city,iata_code,airport_lat,airport_lng,iso_country_code,chronotrain_id,train_station_lat,train_station_lng,city_lat,city_lng,place_id,airport_duration,station_duration
112,Bodø Airport,Norway,ENBO,Bodø,BOO,67.26917,14.36528,NOR,3160881.0,67.28,14.40501,67.2803556,14.404916,ChIJffFjW_UQ30URUzxdspNbeI4,4.166666666666667,0.05
113,Kristiansand Airport,Norway,ENCN,Kristiansand,KRS,58.20421,8.08537,NOR,3149318.0,58.14671,7.9956,58.1599119,8.0182064,ChIJW3pg1VgCOEYRpFgcyG8NDN8,15.683333333333334,8.316666666666666
114,Oslo Airport,Norway,ENGM,Oslo,OSL,60.19392,11.10036,NOR,3143244.0,59.91273,10.74609,59.9138688,10.7522454,ChIJOfBn8mFuQUYRmh4j019gkn4,40.833333333333336,7.55
115,Sandefjord Airport Torp,Norway,ENTO,Sandefjord,TRF,59.1867,10.25863,NOR,3140390.0,59.13118,10.21665,59.1313095,10.2165948,ChIJK4A6VZDARkYRouE8XKJRW8M,21.23333333333333,0.0333333333333333
116,Stavanger Airport,Norway,ENZV,Stavanger,SVG,58.87678,5.63786,NOR,3137115.0,58.97005,5.73332,58.9699756,5.7331073,ChIJlfcp3Uk1OkYRWZIKuCHreq0,15.983333333333333,0.0666666666666666
117,Trondheim Airport,Norway,ENVA,Trondheim,TRD,63.45756,10.92425,NOR,3133880.0,63.43049,10.39506,63.4305149,10.3950528,ChIJU34DR5cxbUYR1PM8jyjI9ws,32.71666666666667,0.0
118,Gdansk Airport,Poland,EPGD,Gdansk,GDN,54.37808,18.46823,POL,3099434.0,54.35227,18.64912,54.3520252,18.6466384,ChIJb_rUFBxz_UYRjb63Y_H7uZs,18.7,1.9333333333333331
119,Katowice Airport,Poland,EPKT,Katowice,KTW,50.47425,19.08002,POL,3096472.0,50.25841,19.02754,50.2648919,19.0237815,ChIJ0cyhNiPOFkcRu_pZBTUqr7k,35.516666666666666,9.716666666666669
120,Kraków Airport,Poland,EPKK,Kraków,KRK,50.07617,19.79157,POL,3094802.0,50.06143,19.93658,50.0646501,19.9449799,ChIJ0RhONcBEFkcRv4pHdrW2a7Q,29.183333333333334,4.883333333333334
121,Poznan Airport,Poland,EPPO,Poznan,POZ,52.42103,16.82633,POL,3088171.0,52.40692,16.92993,52.406374,16.9251681,ChIJtwrh7NJEBEcR0b80A5gx6qQ,20.3,3.533333333333333
122,Szczecin-Goleniów Airport,Poland,EPSC,Szczecin-Goleniów,SZZ,53.58473,14.90221,POL,5104689.0,53.593616,14.896294,53.56382,14.82843,ChIJPw66ONCeAEcR5BQZhvsniao,13.316666666666666,8.6
123,Warsaw Airport,Poland,EPWA,Warsaw,WAW,52.16575,20.96712,POL,756135.0,52.22977,21.01178,52.2296756,21.0122287,ChIJAZ-GmmbMHkcR_NPqiCq-8HI,23.05,1.5666666666666669
124,Warsaw Modlin Airport,Poland,EPMO,Warsaw,WMI,52.45117,20.65271,POL,756135.0,52.22977,21.01178,52.2296756,21.0122287,ChIJAZ-GmmbMHkcR_NPqiCq-8HI,47.833333333333336,1.5666666666666669
125,Wroclaw Airport,Poland,EPWR,Wroclaw,WRO,51.10268,16.88584,POL,3081368.0,51.1,17.03333,51.1078852,17.0385376,ChIJv4q11MLpD0cR9eAFwq5WCbc,24.28333333333333,4.1
126,Faro Airport,Portugal,LPFR,Faro,FAO,37.01443,-7.96591,PRT,2268339.0,37.01869,-7.92716,37.0193548,-7.9304397,ChIJp_qQIudSBQ0RWv9KSdTCc40,19.916666666666668,3.966666666666667
127,Lisbon Airport,Portugal,LPPT,Lisbon,LIS,38.78131,-9.13592,PRT,2267057.0,38.71667,-9.13333,38.7222524,-9.1393366,ChIJO_PkYRozGQ0R0DaQ5L3rAAQ,16.95,7.5
